TXNAME	TXSYMBOL
FBtr0070315	mip130-RA
FBtr0070316	Rbcn-3B-RA
FBtr0344155	Rbcn-3B-RB
FBtr0070317	Ocrl-RA
FBtr0332586	Ocrl-RB
FBtr0070320	CG11596-RB
FBtr0070318	CG11596-RC
FBtr0070319	CG11596-RA
FBtr0332587	CG11596-RD
FBtr0332588	CG11596-RE
FBtr0070321	CG3587-RA
FBtr0070328	CG4194-RA
FBtr0070330	Rtca-RA
FBtr0344156	Rtca-RB
FBtr0070331	CG4045-RA
FBtr0070334	CG4199-RC
FBtr0070335	CG4199-RD
FBtr0070336	CG4199-RB
FBtr0070337	CG4199-RA
FBtr0300254	CG4199-RG
FBtr0300255	CG4199-RH
FBtr0302435	CG4199-RI
FBtr0070338	CG14054-RA
FBtr0070339	CG4281-RA
FBtr0070340	Sik2-RA
FBtr0070341	moody-RA
FBtr0303043	moody-RB
FBtr0303044	moody-RC
FBtr0303045	moody-RD
FBtr0310288	moody-RE
FBtr0310289	moody-RF
FBtr0070342	CG4325-RA
FBtr0310443	CG4325-RB
FBtr0070345	Actn-RC
FBtr0070343	Actn-RB
FBtr0070344	Actn-RA
FBtr0303048	Actn-RD
FBtr0310657	Actn-RF
FBtr0310658	Actn-RG
FBtr0310659	Actn-RH
FBtr0333801	Actn-RI
FBtr0333802	Actn-RJ
FBtr0070346	usp-RA
FBtr0333803	usp-RB
FBtr0070347	PIG-K-RA
FBtr0070349	CG3857-RA
FBtr0070350	eIF2Bepsilon-RA
FBtr0070351	eIF2Bepsilon-RB
FBtr0070352	Edem1-RC
FBtr0070353	Edem1-RB
FBtr0070354	Edem1-RA
FBtr0332580	Edem1-RE
FBtr0305583	Edem1-RD
FBtr0070355	CG32801-RA
FBtr0070362	trr-RC
FBtr0070363	trr-RD
FBtr0070364	CG14818-RA
FBtr0331385	CG14818-RB
FBtr0070365	CG14817-RA
FBtr0345510	CG14817-RB
FBtr0070366	Pgam5-RA
FBtr0339601	Pgam5-RB
FBtr0070367	Pex5-RA
FBtr0070368	Pex5-RB
FBtr0070369	Gcna-RB
FBtr0070370	Gcna-RA
FBtr0339494	Gcna-RD
FBtr0070371	deltaCOP-RA
FBtr0301926	deltaCOP-RB
FBtr0070372	Lamtor5-RA
FBtr0333511	Lamtor5-RB
FBtr0309970	CG14811-RB
FBtr0070375	CG4025-RA
FBtr0070376	Unc-76-RB
FBtr0070377	Unc-76-RA
FBtr0333754	Unc-76-RC
FBtr0333755	Unc-76-RD
FBtr0070378	csw-RA
FBtr0070379	csw-RB
FBtr0070380	csw-RC
FBtr0333260	csw-RD
FBtr0070381	D2hgdh-RB
FBtr0070382	D2hgdh-RC
FBtr0070383	D2hgdh-RA
FBtr0070384	Pgd-RA
FBtr0331410	Pgd-RB
FBtr0070385	CG3630-RA
FBtr0310076	CG3630-RB
FBtr0310500	CG3630-RC
FBtr0310501	CG3630-RD
FBtr0070386	ND-B14.5A-RA
FBtr0343049	ND-B14.5A-RB
FBtr0070387	Cyp4d2-RA
FBtr0345609	Cyp4d2-RB
FBtr0070388	Cyp4ae1-RA
FBtr0070389	pn-RA
FBtr0070390	CG17776-RA
FBtr0345607	CG17776-RB
FBtr0290085	CG17777-RB
FBtr0342764	CG17777-RC
FBtr0070392	CG3457-RA
FBtr0345608	CG3457-RB
FBtr0070393	Mct1-RA
FBtr0342765	Mct1-RB
FBtr0332380	CG14052-RB
FBtr0342766	pcx-RE
FBtr0344153	pcx-RF
FBtr0332381	pcx-RC
FBtr0070396	fs(1)K10-RA
FBtr0070397	Or2a-RA
FBtr0070398	CG3071-RA
FBtr0070399	CG2854-RA
FBtr0308931	lncRNA:CR33218-RC
FBtr0308932	lncRNA:CR33218-RD
FBtr0070401	Raf-RA
FBtr0344007	Raf-RE
FBtr0070402	CG2841-RB
FBtr0070403	CG2841-RC
FBtr0070404	CG2841-RA
FBtr0307284	CG2841-RD
FBtr0307285	CG2841-RE
FBtr0343597	CG2841-RF
FBtr0070405	mRpL14-RA
FBtr0333730	mRpL14-RB
FBtr0070406	Ilp6-RA
FBtr0303997	Ilp6-RB
FBtr0303998	Ilp6-RC
FBtr0333731	Ilp6-RD
FBtr0070407	CG14050-RA
FBtr0308937	CG14050-RB
FBtr0070408	CG2865-RA
FBtr0332962	CG2865-RB
FBtr0070411	CG2918-RA
FBtr0300792	CG2918-RB
FBtr0070412	CG2924-RA
FBtr0346648	CG2924-RE
FBtr0300793	CG2924-RB
FBtr0345315	CG2924-RD
FBtr0070414	temp-RA
FBtr0345316	temp-RB
FBtr0070415	CG3078-RA
FBtr0340208	CG3078-RB
FBtr0474141	CG3078-RC
FBtr0474238	CG3078-RD
FBtr0070417	CG3191-RA
FBtr0342768	CG3191-RC
FBtr0070418	crn-RA
FBtr0070419	kz-RA
FBtr0342769	kz-RB
FBtr0070420	Vinc-RA
FBtr0342770	Vinc-RB
FBtr0342771	Vinc-RC
FBtr0070423	FarO-RA
FBtr0070424	CG14053-RA
FBtr0331383	CG14053-RB
FBtr0070425	Nmd3-RA
FBtr0070426	Cyp4d14-RA
FBtr0310077	Cyp4d14-RB
FBtr0070427	Cyp4d1-RB
FBtr0070428	Cyp4d1-RA
FBtr0070429	wapl-RA
FBtr0070430	wapl-RB
FBtr0344159	wapl-RC
FBtr0070431	bcn92-RA
FBtr0070432	ph-p-RA
FBtr0301515	ph-p-RB
FBtr0343589	ph-p-RC
FBtr0345598	ph-p-RD
FBtr0070433	ph-d-RA
FBtr0112843	ph-d-RB
FBtr0070434	CG16903-RA
FBtr0070437	AANATL7-RA
FBtr0302447	AANATL7-RB
FBtr0302448	AANATL7-RC
FBtr0302449	AANATL7-RD
FBtr0070438	wds-RA
FBtr0308566	wds-RB
FBtr0070439	egh-RC
FBtr0070440	egh-RB
FBtr0340091	egh-RD
FBtr0070442	Seipin-RA
FBtr0340092	brv3-RC
FBtr0300708	brv3-RB
FBtr0070445	Tsp3A-RA
FBtr0307159	Tsp3A-RB
FBtr0070446	eIF3g1-RA
FBtr0070447	Smyd3-RB
FBtr0070448	Klp3A-RA
FBtr0340093	Klp3A-RB
FBtr0300707	CG13760-RC
FBtr0308567	CG13760-RD
FBtr0339401	Vha36-3-RB
FBtr0345706	Vha36-3-RC
FBtr0070457	boi-RB
FBtr0070458	boi-RA
FBtr0303886	boi-RE
FBtr0303887	boi-RF
FBtr0334883	boi-RG
FBtr0070459	tko-RB
FBtr0308831	tko-RC
FBtr0070460	gt-RB
FBtr0070461	CG32797-RA
FBtr0070462	CG12496-RA
FBtr0070471	sgg-RD
FBtr0070472	sgg-RH
FBtr0070473	sgg-RI
FBtr0070474	sgg-RJ
FBtr0070475	sgg-RG
FBtr0070476	sgg-RK
FBtr0070466	sgg-RB
FBtr0070467	sgg-RA
FBtr0070468	sgg-RE
FBtr0070469	sgg-RF
FBtr0070470	sgg-RC
FBtr0112828	sgg-RM
FBtr0301966	sgg-RN
FBtr0302185	sgg-RO
FBtr0331751	sgg-RP
FBtr0331752	sgg-RQ
FBtr0331753	sgg-RR
FBtr0070477	per-RA
FBtr0332311	per-RB
FBtr0070478	CG2662-RA
FBtr0345709	CG2662-RB
FBtr0070479	eIF2Bbeta-RA
FBtr0070480	CG2681-RA
FBtr0070481	CG2694-RA
FBtr0070482	CG2694-RB
FBtr0310649	CG2694-RD
FBtr0070484	fs(1)Yb-RA
FBtr0070485	fs(1)Ya-RA
FBtr0070487	dwg-RA
FBtr0070488	CG2712-RA
FBtr0070489	CG12498-RA
FBtr0070490	w-RA
FBtr0070491	CG32795-RA
FBtr0070492	CG32795-RB
FBtr0070493	CG32795-RC
FBtr0309881	CG32795-RD
FBtr0345318	CG32795-RE
FBtr0070494	Syx4-RA
FBtr0332496	Syx4-RB
FBtr0070495	crm-RB
FBtr0070496	crm-RA
FBtr0070498	CG2701-RA
FBtr0070499	CG2685-RA
FBtr0273279	CG2680-RB
FBtr0070501	Ugalt-RA
FBtr0273276	Ugalt-RB
FBtr0345710	Ugalt-RC
FBtr0070502	Spg7-RA
FBtr0345716	Spg7-RC
FBtr0070504	dyw-RA
FBtr0070505	CG2652-RA
FBtr0070506	HLH3B-RA
FBtr0070507	N-RA
FBtr0304659	N-RB
FBtr0070508	CG3939-RA
FBtr0343600	CG3939-RB
FBtr0070517	dnc-RA
FBtr0070518	dnc-RE
FBtr0070519	dnc-RN
FBtr0070520	dnc-RG
FBtr0070521	dnc-RF
FBtr0070522	dnc-RL
FBtr0070509	dnc-RB
FBtr0070511	dnc-RI
FBtr0070512	dnc-RC
FBtr0070513	dnc-RJ
FBtr0070515	dnc-RD
FBtr0333312	dnc-RP
FBtr0333313	dnc-RQ
FBtr0333314	dnc-RR
FBtr0333315	dnc-RS
FBtr0333316	dnc-RT
FBtr0333317	dnc-RU
FBtr0070523	ng1-RA
FBtr0346736	Sgs4-RC
FBtr0070526	CG10801-RA
FBtr0331606	CG10801-RB
FBtr0070527	CG12206-RA
FBtr0070528	CG12206-RB
FBtr0070529	CG12206-RC
FBtr0070530	CG16781-RA
FBtr0310466	CG16781-RB
FBtr0070531	CG16782-RA
FBtr0070532	CG14269-RA
FBtr0332305	CG14269-RB
FBtr0070533	tRNA:Gln-TTG-2-1-RA
FBtr0070534	CG12535-RB
FBtr0344078	CG12535-RF
FBtr0332302	CG12535-RC
FBtr0332303	CG12535-RD
FBtr0332304	CG12535-RE
FBtr0070536	CG10793-RA
FBtr0070537	Pig1-RB
FBtr0070538	ng4-RA
FBtr0070539	ng3-RB
FBtr0070540	ng2-RA
FBtr0070541	CG14265-RB
FBtr0070542	Fcp3C-RA
FBtr0070543	CG18508-RA
FBtr0345708	CG18508-RB
FBtr0070546	CG3526-RA
FBtr0113325	CG3526-RC
FBtr0070550	CG32793-RA
FBtr0070551	CG3592-RA
FBtr0070552	CG3598-RA
FBtr0070553	CG14420-RA
FBtr0070554	CG14421-RA
FBtr0070555	CG14422-RA
FBtr0070556	CG14423-RA
FBtr0070557	CG17959-RA
FBtr0070558	CG3603-RA
FBtr0332493	CG3603-RB
FBtr0070559	kirre-RB
FBtr0070560	kirre-RA
FBtr0309498	kirre-RC
FBtr0309499	kirre-RD
FBtr0309500	kirre-RE
FBtr0309501	kirre-RF
FBtr0332492	kirre-RG
FBtr0070561	CG4116-RA
FBtr0332494	CG4116-RB
FBtr0070562	rst-RA
FBtr0343758	rst-RB
FBtr0070563	CG14424-RA
FBtr0070564	CG14419-RA
FBtr0070565	CG14418-RA
FBtr0332495	CG14418-RB
FBtr0070566	CG14417-RA
FBtr0070567	CG14416-RA
FBtr0070568	CG10802-RA
FBtr0331609	CG10802-RB
FBtr0070569	CG10803-RA
FBtr0331610	CG10803-RB
FBtr0331611	CG10803-RC
FBtr0331612	CG10803-RD
FBtr0332285	CG10803-RE
FBtr0070570	CG13021-RA
FBtr0070571	CG13021-RB
FBtr0307179	ppk8-RG
FBtr0307180	ppk8-RH
FBtr0070577	Ilp7-RA
FBtr0070578	Mnt-RC
FBtr0070579	Mnt-RA
FBtr0307277	Mnt-RI
FBtr0307278	Mnt-RJ
FBtr0301821	Mnt-RD
FBtr0301822	Mnt-RE
FBtr0301823	Mnt-RF
FBtr0301824	Mnt-RG
FBtr0301825	Mnt-RH
FBtr0343578	Mnt-RK
FBtr0070582	Rala-RB
FBtr0070583	Rala-RA
FBtr0070584	Rala-RC
FBtr0307279	Parg-RB
FBtr0307280	Parg-RC
FBtr0070586	CG2875-RA
FBtr0070587	CG2875-RB
FBtr0333793	CG2875-RC
FBtr0070588	DIP-alpha-RA
FBtr0333794	DIP-alpha-RB
FBtr0333795	DIP-alpha-RC
FBtr0070589	Gas8-RB
FBtr0343540	Gas8-RC
FBtr0344969	Gas8-RD
FBtr0070590	CG14270-RA
FBtr0070591	CG10804-RA
FBtr0070592	CG10804-RB
FBtr0114487	CG10804-RC
FBtr0344077	CG10804-RD
FBtr0070603	tRNA:Gln-CTG-2-1-RA
FBtr0070604	tRNA:Pro-CGG-3-1-RA
FBtr0070608	CG2930-RD
FBtr0070609	CG2930-RA
FBtr0070610	CG2930-RB
FBtr0340201	CG2930-RE
FBtr0340202	CG2930-RF
FBtr0070612	CG15239-RA
FBtr0070613	Glos-RA
FBtr0345711	Glos-RB
FBtr0344825	Gem4b-RB
FBtr0344826	Gem4c-RB
FBtr0070616	Vap33-RB
FBtr0070617	Vap33-RA
FBtr0070618	Vap33-RC
FBtr0342739	Vap33-RE
FBtr0070624	CG6414-RA
FBtr0445312	CG6414-RB
FBtr0070625	CG6428-RA
FBtr0070626	lva-RC
FBtr0342740	lva-RD
FBtr0070627	CG2938-RB
FBtr0332387	CG2938-RC
FBtr0345712	CG2938-RD
FBtr0070634	lncRNA:roX1-RA
FBtr0070635	lncRNA:roX1-RB
FBtr0337066	lncRNA:roX1-RC
FBtr0337067	lncRNA:roX1-RD
FBtr0345714	lncRNA:roX1-RE
FBtr0347157	CG15375-RB
FBtr0070638	brn-RA
FBtr0070640	cib-RC
FBtr0070639	cib-RA
FBtr0070641	cib-RB
FBtr0307206	cib-RD
FBtr0343425	cib-RE
FBtr0070642	dgt4-RA
FBtr0333183	dgt4-RB
FBtr0333184	dgt4-RC
FBtr0070643	tyf-RB
FBtr0300931	tyf-RC
FBtr0301124	tyf-RF
FBtr0305179	tyf-RG
FBtr0305180	tyf-RH
FBtr0305181	tyf-RI
FBtr0305182	tyf-RJ
FBtr0305183	tyf-RK
FBtr0305184	tyf-RL
FBtr0305185	tyf-RM
FBtr0345713	tyf-RN
FBtr0070644	GlcAT-I-RA
FBtr0070645	CG15570-RA
FBtr0070646	CG12691-RA
FBtr0070647	CG15572-RA
FBtr0070652	CG3626-RA
FBtr0308918	CG12688-RB
FBtr0070654	CG12693-RB
FBtr0070655	mRpL33-RA
FBtr0070656	mei-9-RA
FBtr0343574	mei-9-RB
FBtr0070657	CG15579-RA
FBtr0345707	CG15579-RB
FBtr0070658	CG12692-RB
FBtr0345705	CG12692-RC
FBtr0070659	CG15578-RA
FBtr0070660	CG15577-RA
FBtr0070661	CG15576-RB
FBtr0307050	Muc4B-RB
FBtr0343573	Muc4B-RC
FBtr0070663	Femcoat-RB
FBtr0070664	CG15571-RA
FBtr0070665	Fas2-RA
FBtr0070666	Fas2-RB
FBtr0070667	Fas2-RC
FBtr0336882	Fas2-RD
FBtr0336884	Fas2-RF
FBtr0343523	Fas2-RG
FBtr0343524	Fas2-RH
FBtr0070668	Tip60-RA
FBtr0333185	Tip60-RB
FBtr0333186	Tip60-RC
FBtr0070669	Nsun2-RA
FBtr0070670	Xpac-RA
FBtr0070671	Cmtr1-RA
FBtr0343297	Cmtr1-RB
FBtr0070672	bi-RA
FBtr0331162	bi-RF
FBtr0300608	bi-RB
FBtr0300609	bi-RC
FBtr0343569	bi-RG
FBtr0308914	bi-RD
FBtr0308915	bi-RE
FBtr0070674	CG3556-RA
FBtr0308916	CG3556-RB
FBtr0070675	CHOp24-RA
FBtr0343566	CHOp24-RB
FBtr0070676	CG3568-RA
FBtr0070677	CG15912-RA
FBtr0070678	CG3527-RA
FBtr0070679	CG3546-RA
FBtr0070685	Pp2C1-RA
FBtr0343531	Pp2C1-RB
FBtr0070698	CG11444-RA
FBtr0343567	CG11444-RB
FBtr0070699	CG11436-RA
FBtr0070701	Usf-RB
FBtr0308917	Usf-RC
FBtr0070702	rb-RA
FBtr0343568	rb-RD
FBtr0332290	rb-RC
FBtr0344479	lncRNA:CR32773-RC
FBtr0344480	lncRNA:CR32773-RD
FBtr0070704	ctp-RB
FBtr0070706	ctp-RA
FBtr0070707	ctp-RC
FBtr0307065	ctp-RE
FBtr0474174	ctp-RF
FBtr0070711	Pdha-RC
FBtr0070708	Pdha-RA
FBtr0070709	Pdha-RD
FBtr0070710	Pdha-RB
FBtr0070712	CG7024-RA
FBtr0070715	CG6978-RA
FBtr0070716	CG12682-RA
FBtr0070717	boil-RA
FBtr0070721	CG6927-RA
FBtr0300997	CG32772-RC
FBtr0342951	CG32772-RD
FBtr0342952	CG32772-RE
FBtr0343533	CG32772-RF
FBtr0070723	CG6903-RA
FBtr0343535	CG6903-RB
FBtr0070724	Ptp4E-RA
FBtr0070725	Ptp4E-RB
FBtr0301793	Ptp4E-RC
FBtr0301794	Ptp4E-RD
FBtr0301796	Ptp4E-RF
FBtr0343528	Ptp4E-RG
FBtr0343529	Ptp4E-RH
FBtr0300018	CG12680-RB
FBtr0343530	CG12680-RC
FBtr0479779	CG15468-RB
FBtr0070731	CG2861-RA
FBtr0302037	CG2861-RC
FBtr0332312	CG2861-RD
FBtr0332313	CG2861-RE
FBtr0299601	CG15471-RB
FBtr0299602	CG15471-RC
FBtr0070734	CG2871-RA
FBtr0070735	Klf15-RA
FBtr0070736	CG15472-RA
FBtr0070741	Rpn13R-RA
FBtr0070742	CG15465-RA
FBtr0344669	CG15465-RB
FBtr0070748	snf-RA
FBtr0070749	dhd-RA
FBtr0345745	dhd-RB
FBtr0070750	CG4198-RA
FBtr0340475	CG4198-RB
FBtr0070751	Sas10-RA
FBtr0070753	Rnp4F-RB
FBtr0070752	Rnp4F-RA
FBtr0112876	Rnp4F-RD
FBtr0340477	Rnp4F-RF
FBtr0301881	CG15930-RB
FBtr0070755	TrxT-RA
FBtr0340478	TrxT-RB
FBtr0070757	CG17764-RA
FBtr0070758	CG3323-RA
FBtr0070759	CG5062-RA
FBtr0300994	CG32767-RC
FBtr0300995	CG32767-RD
FBtr0302118	CG32767-RE
FBtr0302119	CG32767-RF
FBtr0331757	CG32767-RG
FBtr0331758	CG32767-RH
FBtr0070763	XRCC1-RA
FBtr0070764	CanB-RA
FBtr0308348	CanB-RB
FBtr0300467	SK-RH
FBtr0331602	SK-RO
FBtr0331603	SK-RP
FBtr0331604	SK-RQ
FBtr0301949	SK-RI
FBtr0301950	SK-RJ
FBtr0301951	SK-RK
FBtr0301952	SK-RL
FBtr0301953	SK-RM
FBtr0301954	SK-RN
FBtr0344555	SK-RR
FBtr0344556	SK-RS
FBtr0344557	SK-RT
FBtr0344558	SK-RU
FBtr0070773	Usp16-45-RA
FBtr0070772	Usp16-45-RD
FBtr0070775	Usp16-45-RB
FBtr0340461	Usp16-45-RE
FBtr0340462	Usp16-45-RF
FBtr0070776	CG16756-RA
FBtr0070777	CG15784-RA
FBtr0340460	CG15784-RB
FBtr0070778	SPR-RA
FBtr0344824	SPR-RC
FBtr0339781	SPR-RB
FBtr0479797	SPR-RD
FBtr0070779	CG4151-RA
FBtr0345786	CG4151-RB
FBtr0070780	CG12730-RA
FBtr0345785	CG12730-RB
FBtr0070782	Pop1-RA
FBtr0070783	Mlc-c-RA
FBtr0308579	Mlc-c-RB
FBtr0070784	RhoGAP5A-RB
FBtr0070785	RhoGAP5A-RA
FBtr0070791	CG32762-RA
FBtr0345787	CG32762-RB
FBtr0346263	frma-RF
FBtr0346264	frma-RG
FBtr0070797	NAAT1-RA
FBtr0070798	CG3309-RA
